total_time,value_n
0.0036600280000129715,1000
0.0070059229983598925,1000
0.010227134000160731,1000
0.01622759899692028,1000
0.01942095199774485,1000
0.022610535994317615,1000
0.025817699992330745,1000
0.029008531993895303,1000
0.032209790995693766,1000
0.03555419099575374,1000
0.04127404399696388,1000
0.04450066099525429,1000
0.0477525229944149,1000
0.05115663099422818,1000
0.054392033995100064,1000
0.05790152999543352,1000
0.06113865899533266,1000
0.06436219199531479,1000
0.06756012499317876,1000
0.07078217699381639,1000
0.07398588099385961,1000
0.07721160799337667,1000
0.08046434699645033,1000
0.0836625159936375,1000
0.08689604199389578,1000
0.09013660599157447,1000
0.0933336489906651,1000
0.09654288899037056,1000
0.09976505298982374,1000
0.10296921299232054,1000
0.10616586499236291,1000
0.10941326799365925,1000
0.11261875199488713,1000
0.11583678299575695,1000
0.11906358799387817,1000
0.1222931729935226,1000
0.12549456299166195,1000
0.12871877998986747,1000
0.13190723298976081,1000
0.13510615598715958,1000
0.13829040198470466,1000
0.14150954998331144,1000
0.1449745529826032,1000
0.1482058279834746,1000
0.1514481389822322,1000
0.15465488198242383,1000
0.15786571698117768,1000
0.16109582397984923,1000
0.16431881197786424,1000
0.1675328119781625,1000
0.17079483597990475,1000
0.17402940298052272,1000
0.17724536798050394,1000
0.18049572498057387,1000
0.18370993098142208,1000
0.18692396198093775,1000
0.19014713997967192,1000
0.19338545297796372,1000
0.1965811859772657,1000
0.19979607097775443,1000
0.20299102097851573,1000
0.20619557297686697,1000
0.20942680997904972,1000
0.21262592397761182,1000
0.21581678597794962,1000
0.21902365098139853,1000
0.2222244549811876,1000
0.22543046298233094,1000
0.22864682498402544,1000
0.23183681198133854,1000
0.23504250798214343,1000
0.23826741898301407,1000
0.24146945398388198,1000
0.24468306498238235,1000
0.24790524098352762,1000
0.2510964389803121,1000
0.2542757299816003,1000
0.25749875998371863,1000
0.2607170719857095,1000
0.26391932098340476,1000
0.2671418719837675,1000
0.2703561289818026,1000
0.27355195798372733,1000
0.2767546969844261,1000
0.27995863198157167,1000
0.2831609769818897,1000
0.2863544849824393,1000
0.2895568629828631,1000
0.29272659698472125,1000
0.2959178389828594,1000
0.2991333499812754,1000
0.3023267679782293,1000
0.3055278669780819,1000
0.3087461409777461,1000
0.31195981197743095,1000
0.3151644419776858,1000
0.3183866839754046,1000
0.3215921979754057,1000
0.3248011239738844,1000
0.32803000397325377,1000
0.33123382697158377,1000
0.33445382697391324,1000
0.3377057679754216,1000
0.3409013879754639,1000
0.3441080929733289,1000
0.3473400979746657,1000
0.35052602997166105,1000
0.3537358429712185,1000
0.35691576696990523,1000
0.36012716896948405,1000
0.36334567196900025,1000
0.36654586497024866,1000
0.36975944396908744,1000
0.3729574819699337,1000
0.37613709497236414,1000
0.37934956897152006,1000
0.38253455897211097,1000
0.3857290689738875,1000
0.38893620197632117,1000
0.39212842297638417,1000
0.39549136497589643,1000
0.3987349659764732,1000
0.4019336939745699,1000
0.405232562974561,1000
0.40844375897358987,1000
0.41165390497189946,1000
0.41486838397031534,1000
0.4180873599725601,1000
0.42127082397200866,1000
0.4244624619714159,1000
0.4276732549733424,1000
0.4308711119738291,1000
0.43406574197433656,1000
0.4372824769743602,1000
0.4404625529750774,1000
0.443642372974864,1000
0.4468461509750341,1000
0.4500551849741896,1000
0.45324991697634687,1000
0.4564399219780171,1000
0.45966131697787205,1000
0.4628488809794362,1000
0.4660377059808525,1000
0.4692449909816787,1000
0.47243830698062084,1000
0.4756644579829299,1000
0.47886983397984295,1000
0.48204595298011554,1000
0.48524216097939643,1000
0.4884549069793138,1000
0.4916399299800105,1000
0.49484635097905993,1000
0.49807475097986753,1000
0.5012865159806097,1000
0.5044845919801446,1000
0.5077605039805348,1000
0.5109590699794353,1000
0.5141418659804913,1000
0.5173498509793717,1000
0.5205298609762394,1000
0.5237095929769566,1000
0.5268946049800434,1000
0.5300677269806329,1000
0.5332609439792577,1000
0.536446932979743,1000
0.5396470809791936,1000
0.5428337199773523,1000
0.5460195659798046,1000
0.5492161219808622,1000
0.5524057269794866,1000
0.5555936789787665,1000
0.5588006259786198,1000
0.5619916549803747,1000
0.5651781189808389,1000
0.5684120479781996,1000
0.5716179769769951,1000
0.5748123219746049,1000
0.5780235379752412,1000
0.5812228349750512,1000
0.5844129259749025,1000
0.5876206609755172,1000
0.5908124589732324,1000
0.5939988199716026,1000
0.5972293339691532,1000
0.6004332919692388,1000
0.603624505969492,1000
0.6068155859720719,1000
0.6100114609726006,1000
0.6131989969726419,1000
0.6163923659732973,1000
0.6195850719741429,1000
0.6227742959745228,1000
0.6259676829758973,1000
0.629175078975095,1000
