2|1.8852949142456055e-05
3|8.183002471923829e-06
4|7.5135231018066405e-06
5|7.62939453125e-06
6|7.696151733398438e-06
7|7.627487182617188e-06
8|8.03065299987793e-06
9|8.744716644287109e-06
10|8.499860763549805e-06
11|8.474111557006836e-06
12|8.93568992614746e-06
13|9.347677230834961e-06
14|9.90462303161621e-06
15|1.055765151977539e-05
16|1.094818115234375e-05
17|1.1677026748657226e-05
18|1.1920452117919921e-05
19|1.2762069702148437e-05
20|1.2707233428955079e-05
21|1.3467788696289062e-05
22|1.1069536209106446e-05
23|1.1517047882080078e-05
24|1.1800050735473633e-05
25|1.2159585952758789e-05
26|1.2559652328491211e-05
27|1.2642860412597656e-05
28|1.3283014297485352e-05
29|1.3723373413085938e-05
