2|7.908248901367188e-05
3|2.0064353942871095e-05
4|1.6888856887817384e-05
5|1.912569999694824e-05
6|1.6256332397460937e-05
7|1.8611907958984373e-05
8|1.6849517822265624e-05
9|1.9917488098144533e-05
10|1.9154548645019532e-05
11|2.1201610565185547e-05
12|2.0741701126098633e-05
13|2.228236198425293e-05
14|2.22165584564209e-05
15|2.219104766845703e-05
16|2.1789789199829102e-05
17|2.680063247680664e-05
18|2.4311065673828126e-05
19|3.022122383117676e-05
20|2.9320001602172852e-05
21|2.983713150024414e-05
22|2.81984806060791e-05
23|2.9966354370117188e-05
24|2.7014493942260743e-05
25|2.5959014892578124e-05
26|2.876734733581543e-05
27|2.9982805252075197e-05
28|2.852463722229004e-05
29|3.316736221313477e-05
